query_key,status,bbl,bin,label,pelias_confidence,match_type,returned_number,returned_street,geocoded_at
Manhattan|233|WEST 20 STREET,ok,1007700021,1014022,"233 WEST 20 STREET, New York, NY, USA",0.8,fallback,233,WEST 20 STREET,2026-09-20T19:47:15+00:00
Manhattan|234|EAST 4 STREET,ok,1003990026,1004992,"234 EAST 4 STREET, New York, NY, USA",0.8,fallback,234,EAST 4 STREET,2026-09-20T19:47:15+00:00
Manhattan|235|EAST 40 STREET,ok,1013147501,1037178,"235 EAST 40 STREET, New York, NY, USA",0.8,fallback,235,EAST 40 STREET,2026-09-20T19:47:15+00:00
Manhattan|235|EAST 89 STREET,ok,1015350021,1048891,"235 EAST 89 STREET, New York, NY, USA",0.8,fallback,235,EAST 89 STREET,2026-09-20T19:47:16+00:00
Manhattan|235|WEST 22 STREET,ok,1007720018,1014111,"235 WEST 22 STREET, New York, NY, USA",0.8,fallback,235,WEST 22 STREET,2026-09-20T19:47:16+00:00
Manhattan|240|EAST 27 STREET,ok,1009070025,1019855,"240 EAST 27 STREET, New York, NY, USA",0.8,fallback,240,EAST 27 STREET,2026-09-20T19:47:16+00:00
Manhattan|240|EAST 76 STREET,ok,1014307501,1044060,"240 EAST 76 STREET, New York, NY, USA",0.8,fallback,240,EAST 76 STREET,2026-09-20T19:47:16+00:00
Manhattan|240|GREENWICH STREET,ok,1001280002,1001416,"240 GREENWICH STREET, New York, NY, USA",0.8,fallback,240,GREENWICH STREET,2026-09-20T19:47:16+00:00
Manhattan|241|WEST 43 STREET,ok,1010157501,1088760,"241 WEST 43 STREET, New York, NY, USA",0.8,fallback,241,WEST 43 STREET,2026-09-20T19:47:16+00:00
Manhattan|245|EAST 36 STREET,ok,1009170025,1000000,"245 EAST 36 STREET, New York, NY, USA",0.8,fallback,245,EAST 36 STREET,2026-09-20T19:47:16+00:00
Manhattan|245|EAST 54 STREET,ok,1013280021,1038575,"245 EAST 54 STREET, New York, NY, USA",0.8,fallback,245,EAST 54 STREET,2026-09-20T19:47:16+00:00
Manhattan|247|WEST 28 STREET,ok,1007780018,1014254,"247 WEST 28 STREET, New York, NY, USA",0.8,fallback,247,WEST 28 STREET,2026-09-20T19:47:16+00:00
Manhattan|249|WEST 40 STREET,ok,1010127501,1087186,"249 WEST 40 STREET, New York, NY, USA",0.8,fallback,249,WEST 40 STREET,2026-09-20T19:47:16+00:00
Manhattan|24|WEST 119 STREET,ok,1017170047,1053202,"24 WEST 119 STREET, New York, NY, USA",0.8,fallback,24,WEST 119 STREET,2026-09-20T19:47:16+00:00
Manhattan|24|WEST 89 STREET,ok,1012020141,1031538,"24 WEST 89 STREET, New York, NY, USA",0.8,fallback,24,WEST 89 STREET,2026-09-20T19:51:11+00:00
Manhattan|24|WEST 98 STREET,mismatch,,,"260 WEST 98 STREET, New York, NY, USA",,,260,WEST 98 STREET,2026-09-20T19:47:16+00:00
Manhattan|2505|BROADWAY,ok,1012417502,1033645,"2505 BROADWAY, New York, NY, USA",0.8,fallback,2505,BROADWAY,2026-09-20T19:47:16+00:00
Manhattan|250|EAST 83 STREET,ok,1015280028,1091807,"250 EAST 83 STREET, New York, NY, USA",0.8,fallback,250,EAST 83 STREET,2026-09-20T19:47:16+00:00
Manhattan|250|WEST 89 STREET,ok,1012367501,1071151,"250 WEST 89 STREET, New York, NY, USA",0.8,fallback,250,WEST 89 STREET,2026-09-20T19:47:16+00:00
Manhattan|251|AVENUE C,ok,1009720001,1082726,"251 AVENUE C, New York, NY, USA",0.8,fallback,251,AVENUE C,2026-09-20T19:51:11+00:00
Manhattan|251|WEST 98 STREET,ok,1018707503,1056395,"251 WEST 98 STREET, New York, NY, USA",0.8,fallback,251,WEST 98 STREET,2026-09-20T19:47:17+00:00
Manhattan|255|WEST 88 STREET,ok,1012360010,1033291,"255 WEST 88 STREET, New York, NY, USA",0.8,fallback,255,WEST 88 STREET,2026-09-20T19:47:17+00:00
Manhattan|256|EAST 72 STREET,ok,1014260025,1091813,"256 EAST 72 STREET, New York, NY, USA",0.8,fallback,256,EAST 72 STREET,2026-09-20T19:47:17+00:00
Manhattan|256|WEST 93 STREET,ok,1012400057,1033619,"256 WEST 93 STREET, New York, NY, USA",0.8,fallback,256,WEST 93 STREET,2026-09-20T19:47:17+00:00
Manhattan|259|WEST 30 STREET,ok,1007800007,1014336,"259 WEST 30 STREET, New York, NY, USA",0.8,fallback,259,WEST 30 STREET,2026-09-20T19:47:17+00:00
Manhattan|260|AUDUBON AVENUE,ok,1021530001,1079908,"260 AUDUBON AVENUE, New York, NY, USA",0.8,fallback,260,AUDUBON AVENUE,2026-09-20T19:47:17+00:00
Manhattan|260|LENOX AVENUE,ok,1017210035,1053414,"260 LENOX AVENUE, New York, NY, USA",0.8,fallback,260,LENOX AVENUE,2026-09-20T19:47:17+00:00
Manhattan|260|WEST 23 STREET,ok,1007720075,1000000,"260 WEST 23 STREET, New York, NY, USA",0.8,fallback,260,WEST 23 STREET,2026-09-20T19:47:17+00:00
Manhattan|261|BROADWAY,ok,1001357501,1001473,"261 BROADWAY, New York, NY, USA",0.8,fallback,261,BROADWAY,2026-09-20T19:47:17+00:00
Manhattan|265|WATER STREET,ok,1001070044,1001382,"265 WATER STREET, New York, NY, USA",0.8,fallback,265,WATER STREET,2026-09-20T19:47:18+00:00
Manhattan|2686|BROADWAY,ok,1018747502,1091027,"2686 BROADWAY, New York, NY, USA",0.8,fallback,2686,BROADWAY,2026-09-20T19:47:18+00:00
